,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2021,NFL,Las Vegas Raiders,6,7,0,4th of 4,,283,360,-77,GrudenBisaccia,,Carr,Jacobs,Renfrow,18,9,31,20,23,25,17,32,-5.9,0.6,-5.3,-0.8,-4.5
2020,NFL,Las Vegas Raiders,8,8,0,2nd of 4,,434,478,-44,Gruden,Carr,Carr,Jacobs,Waller,10,8,30,25,30,21,17,32,-2.8,0.8,-2.0,2.9,-4.9
2019,NFL,Oakland Raiders,7,9,0,3rd of 4,,313,419,-106,Gruden,Carr,Carr,Jacobs,Waller,24,11,24,19,21,27,14,32,-6.6,-0.3,-6.9,-2.5,-4.4
2018,NFL,Oakland Raiders,4,12,0,4th of 4,,290,467,-177,Gruden,Carr,Carr,Martin,Cook,28,23,32,26,26,31,27,32,-11.1,1.8,-9.3,-5.2,-4.1
2017,NFL,Oakland Raiders,6,10,0,3rd of 4,,301,373,-72,Del Rio,Mack,Carr,Lynch,Cook,23,17,20,23,29,25,23,32,-4.5,-0.2,-4.7,-3.0,-1.8
2016,NFL,Oakland Raiders*,12,4,0,2nd of 4,Lost WC,416,385,31,Del Rio,Mack,Carr,Murray,Cooper,7,6,20,26,1,11,19,32,1.9,1.3,3.3,3.5,-0.3
2015,NFL,Oakland Raiders,7,9,0,3rd of 4,,359,399,-40,Del Rio,Mack,Carr,Murray,Cooper,17,24,22,22,17,17,24,32,-2.5,2.3,-0.2,1.4,-1.6
2014,NFL,Oakland Raiders,3,13,0,4th of 4,,253,452,-199,SparanoAllen,Smith,Carr,McFadden,Holmes,31,32,32,21,32,32,30,32,-12.4,3.4,-9.0,-4.3,-4.7
2013,NFL,Oakland Raiders,4,12,0,4th of 4,,322,453,-131,Allen,Houston,Pryor,Jennings,Streater,24,23,29,22,27,29,24,32,-8.2,0.2,-8.0,-3.8,-4.2
2012,NFL,Oakland Raiders,4,12,0,3rd of 4,,290,443,-153,Allen,Palmer,Palmer,McFadden,Myers,26,18,28,18,23,29,17,32,-9.6,-1.3,-10.8,-4.6,-6.2
2011,NFL,Oakland Raiders,8,8,0,3rd of 4,,359,433,-74,Jackson,Seymour,Palmer,Bush,Heyward-Bey,16,9,29,29,22,23,18,32,-4.6,-0.3,-4.9,0.2,-5.1
2010,NFL,Oakland Raiders,8,8,0,3rd of 4,,410,371,39,Cable,McFadden,Campbell,McFadden,Miller,6,10,20,11,17,14,9,32,2.4,-2.3,0.2,2.3,-2.2
