,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2021,NFL,Houston Texans,2,11,0,3rd of 4,,177,356,-179,Culley,,Mills,Ingram,Cooks,32,32,30,30,14,32,32,32,-13.8,1.3,-12.4,-8.5,-3.9
2020,NFL,Houston Texans,4,12,0,3rd of 4,,384,464,-80,CrennelO'Brien,Watson,Watson,Johnson,Cooks,18,13,27,30,27,26,27,32,-5.0,-0.5,-5.5,-1.4,-4.1
2019,NFL,Houston Texans*,10,6,0,1st of 4,Lost Div,378,385,-7,O'Brien,Watson,Watson,Hyde,Hopkins,14,13,19,28,15,15,20,32,-0.4,1.0,0.5,1.0,-0.5
2018,NFL,Houston Texans*,11,5,0,1st of 4,Lost WC,402,316,86,O'Brien,Watt,Watson,Miller,Hopkins,11,15,4,12,2,9,13,32,5.4,-1.5,3.8,2.4,1.4
2017,NFL,Houston Texans,4,12,0,3rd of 4,,338,436,-98,O'Brien,Hopkins,Watson,Miller,Hopkins,17,20,32,20,28,28,24,32,-6.1,-0.3,-6.4,-0.8,-5.6
2016,NFL,Houston Texans*,9,7,0,1st of 4,Lost Div,279,328,-49,O'Brien,Mercilus,Osweiler,Miller,Hopkins,28,29,11,1,26,26,10,32,-3.1,0.4,-2.6,-5.3,2.7
2015,NFL,Houston Texans*,9,7,0,1st of 4,Lost WC,339,313,26,O'Brien,Watt,Hoyer,Blue,Hopkins,21,19,7,3,10,12,6,32,1.6,-2.4,-0.8,-3.3,2.6
2014,NFL,Houston Texans,9,7,0,2nd of 4,,372,307,65,O'Brien,Watt,Fitzpatrick,Foster,Hopkins,14,17,7,16,2,11,19,32,4.1,-2.3,1.7,-0.8,2.5
2013,NFL,Houston Texans,2,14,0,4th of 4,,276,428,-152,KubiakPhillips,Watt,Schaub,Tate,Johnson,31,11,24,7,32,31,6,32,-9.5,1.9,-7.6,-5.0,-2.6
2012,NFL,Houston Texans*,12,4,0,1st of 4,Lost Div,416,331,85,Kubiak,Watt,Schaub,Foster,Johnson,8,7,9,7,7,8,6,32,5.3,-1.8,3.5,1.8,1.7
2011,NFL,Houston Texans*,10,6,0,1st of 4,Lost Div,381,278,103,Kubiak,Cushing,Schaub,Foster,Daniels,10,13,4,2,7,6,3,32,6.4,-1.9,4.5,1.4,3.2
2010,NFL,Houston Texans,6,10,0,3rd of 4,,390,427,-37,Kubiak,Foster,Schaub,Foster,Johnson,9,3,29,30,13,18,13,32,-2.3,0.5,-1.8,1.8,-3.7
2009,NFL,Houston Texans,9,7,0,2nd of 4,,388,333,55,Kubiak,Schaub,Schaub,Slaton,Johnson,10,4,17,13,19,11,7,32,3.4,-1.5,2.0,2.7,-0.7
2008,NFL,Houston Texans,8,8,0,3rd of 4,,366,394,-28,Kubiak,Johnson,Schaub,Slaton,Johnson,17,3,27,22,29,21,8,32,-1.8,1.4,-0.4,2.8,-3.2
2007,NFL,Houston Texans,8,8,0,4th of 4,,379,384,-5,Kubiak,Williams,Schaub,Dayne,Johnson,12,14,22,24,31,17,21,32,-0.3,0.3,0.0,2.5,-2.5
2006,NFL,Houston Texans,6,10,0,4th of 4,,267,366,-99,Kubiak,Johnson,Carr,Dayne,Johnson,28,28,25,24,21,28,28,32,-6.2,1.7,-4.5,-3.2,-1.3
2005,NFL,Houston Texans,2,14,0,4th of 4,,260,431,-171,Capers,Williams,Carr,Williams,Johnson,26,30,32,31,25,31,31,32,-10.7,0.7,-10.0,-4.4,-5.7
2004,NFL,Houston Texans,7,9,0,3rd of 4,,309,339,-30,Capers,Carr,Carr,Williams,Johnson,21,19,15,23,13,20,22,32,-1.9,1.2,-0.6,-2.4,1.8
2003,NFL,Houston Texans,5,11,0,4th of 4,,255,380,-125,Capers,Williams,Carr,Williams,Johnson,28,31,27,31,25,29,32,32,-7.8,1.9,-6.0,-4.4,-1.5
2002,NFL,Houston Texans,4,12,0,4th of 4,,213,356,-143,Capers,Glenn,Carr,Wells,Bradford,32,32,20,16,26,29,32,32,-8.9,-0.5,-9.4,-8.4,-1.1
